"","pres_method","bg_method","point_category","mean_pa_AUC","median_pa_AUC"
"1","gaussian","gaussian","high",0.761313868512764,0.750703576631332
"2","gaussian","gaussian","low",0.635848634700067,0.581884687071835
"3","gaussian","gaussian","typical",0.690363433809533,0.688837234256361
"4","gaussian","kde","high",0.745277309597516,0.746127305554224
"5","gaussian","kde","low",0.649923914961284,0.620277132283329
"6","gaussian","kde","typical",0.708334313626917,0.698798076923077
"7","gaussian","lobagoc","high",NA,NA
"8","gaussian","lobagoc","low",NA,NA
"9","gaussian","lobagoc","typical",NA,NA
"10","gaussian","none","high",0.729222346105807,0.72432157152994
"11","gaussian","none","low",0.634367240665319,0.623397435897436
"12","gaussian","none","typical",0.694263819887836,0.686057166604783
"13","gaussian","rangebagging","high",0.729372265398196,0.724476501856561
"14","gaussian","rangebagging","low",0.634369177090427,0.623397435897436
"15","gaussian","rangebagging","typical",0.694311566385252,0.686417821728215
"16","gaussian","vine","high",0.737520371961799,0.720309698901926
"17","gaussian","vine","low",0.623841868768579,0.583333333333333
"18","gaussian","vine","typical",0.683129708570187,0.674114429519635
"19","kde","gaussian","high",0.726637984517338,0.728077385475148
"20","kde","gaussian","low",0.643202309257328,0.594594091793847
"21","kde","gaussian","typical",0.680612795725139,0.684501970893015
"22","kde","kde","high",0.75814232462659,0.75647660270452
"23","kde","kde","low",0.649681499111631,0.595830080517081
"24","kde","kde","typical",0.70923962381956,0.697537993920973
"25","kde","lobagoc","high",NA,NA
"26","kde","lobagoc","low",NA,NA
"27","kde","lobagoc","typical",NA,NA
"28","kde","none","high",0.73526981627247,0.741411005704295
"29","kde","none","low",0.647817332672829,0.5823730540183
"30","kde","none","typical",0.696659901396709,0.697087814987813
"31","kde","rangebagging","high",0.735375089510653,0.741474501519751
"32","kde","rangebagging","low",0.647803371074094,0.582510105704148
"33","kde","rangebagging","typical",0.696699895029748,0.697263767862011
"34","kde","vine","high",0.726108833146128,0.702342854362098
"35","kde","vine","low",0.634104103444486,0.568960202569052
"36","kde","vine","typical",0.682662097351612,0.672069527024817
"37","lobagoc","gaussian","high",0.669549065994081,0.662607449314074
"38","lobagoc","gaussian","low",0.612909220255868,0.607706383914558
"39","lobagoc","gaussian","typical",0.646290095483696,0.635518545240767
"40","lobagoc","kde","high",0.651730754349023,0.639823287105954
"41","lobagoc","kde","low",0.595534140972152,0.599835679398987
"42","lobagoc","kde","typical",0.650974630247217,0.636230762504372
"43","lobagoc","lobagoc","high",NA,NA
"44","lobagoc","lobagoc","low",0.598634799896603,0.585502234892479
"45","lobagoc","lobagoc","typical",0.678050064083003,0.672360248447205
"46","lobagoc","none","high",0.639050121712168,0.619738568824735
"47","lobagoc","none","low",0.615366765443165,0.598933984983709
"48","lobagoc","none","typical",0.649089557438166,0.625936079048618
"49","lobagoc","rangebagging","high",0.644882727409274,0.620459192914486
"50","lobagoc","rangebagging","low",0.592622320281222,0.594357088961113
"51","lobagoc","rangebagging","typical",0.64817281891263,0.62643444820455
"52","lobagoc","vine","high",0.649270630748741,0.642959195964368
"53","lobagoc","vine","low",0.605463732767346,0.595164493217772
"54","lobagoc","vine","typical",0.648479687863477,0.631208464498076
"55","rangebagging","gaussian","high",0.545811360844366,0.561958514946645
"56","rangebagging","gaussian","low",0.56314879289313,0.5597657295311
"57","rangebagging","gaussian","typical",0.516056739918822,0.508935508935509
"58","rangebagging","kde","high",0.521654551869116,0.506024988025734
"59","rangebagging","kde","low",0.58664409875521,0.579497276110901
"60","rangebagging","kde","typical",0.548516716436857,0.546973256009614
"61","rangebagging","lobagoc","high",NA,NA
"62","rangebagging","lobagoc","low",NA,NA
"63","rangebagging","lobagoc","typical",NA,NA
"64","rangebagging","none","high",0.663240638761974,0.651443873791756
"65","rangebagging","none","low",0.666274989875481,0.65458639613393
"66","rangebagging","none","typical",0.699801779268248,0.695930222385527
"67","rangebagging","rangebagging","high",0.669536092536241,0.64858859991297
"68","rangebagging","rangebagging","low",0.681044780363217,0.666172839506173
"69","rangebagging","rangebagging","typical",0.69874723317485,0.691691151054269
"70","rangebagging","vine","high",0.504099584296175,0.495093775595433
"71","rangebagging","vine","low",0.541718248494569,0.533841463414634
"72","rangebagging","vine","typical",0.52143836544378,0.509204684204684
"73","vine","gaussian","high",0.719935819900162,0.717592250495853
"74","vine","gaussian","low",0.658439347003404,0.616272874456354
"75","vine","gaussian","typical",0.694605010346585,0.683285622264381
"76","vine","kde","high",0.73841095227262,0.742516028811736
"77","vine","kde","low",0.654679874833697,0.616653328592856
"78","vine","kde","typical",0.700099078304126,0.671651606762582
"79","vine","lobagoc","high",NA,NA
"80","vine","lobagoc","low",NA,NA
"81","vine","lobagoc","typical",NA,NA
"82","vine","none","high",0.711548666377647,0.728357864257047
"83","vine","none","low",0.649270601738494,0.611133421071946
"84","vine","none","typical",0.691887403499854,0.6724057239937
"85","vine","rangebagging","high",0.712311911149524,0.72968532879977
"86","vine","rangebagging","low",0.649238625953718,0.611133421071946
"87","vine","rangebagging","typical",0.692210091111942,0.672012709398935
"88","vine","vine","high",0.730482712331394,0.720229380300557
"89","vine","vine","low",0.649346821730035,0.612823149370896
"90","vine","vine","typical",0.692748523074058,0.677191271769957
