"method","wins","pct_wins"
"maxnet",64,28
"rangebagging / none",17,8
"rangebagging / rangebagging",11,5
"gaussian / gaussian",10,4
"gaussian / kde",10,4
"rulsif",10,4
"ulsif",10,4
"vine / kde",10,4
"kde / gaussian",9,4
"vine / vine",8,4
"gaussian / vine",7,3
"kde / vine",7,3
"rangebagging / lobagoc",6,3
"vine / gaussian",6,3
"vine / lobagoc",5,2
"gaussian / none",4,2
"kde / kde",4,2
"kde / lobagoc",4,2
"kde / none",4,2
"kde / rangebagging",4,2
"rangebagging / kde",3,1
"gaussian / rangebagging",2,1
"lobagoc / lobagoc",2,1
"rangebagging / vine",2,1
"gaussian / lobagoc",1,0
"lobagoc / gaussian",1,0
"lobagoc / rangebagging",1,0
"lobagoc / vine",1,0
"rangebagging / gaussian",1,0
"vine / none",1,0
"vine / rangebagging",1,0
